diffusion,growth,hostFloor,climateFloor,hostPower,climatePower,ap_2019,ap_2020,ap_2021,ap_2022,ap_2023,mean_average_precision,worst_year_average_precision
0.28,0.24,0.35,0.0,1.0,1.6,0.7194871175268012,0.6918462211861577,0.5919252704077786,0.5595564351783435,0.5533860983834445,0.6232402285365052,0.5533860983834445
0.28,0.24,0.15,0.0,1.0,1.0,0.7287080776617827,0.6888191977659928,0.598560294793697,0.5467820078939357,0.5531516347439813,0.6232042425718779,0.5467820078939357
0.28,0.24,0.0,0.35,0.6,1.6,0.72405929440043,0.691072426199031,0.5992175197069118,0.5457201011651837,0.5555848156540605,0.6231308314251234,0.5457201011651837
0.28,0.24,0.15,0.35,1.0,1.6,0.7286344869244035,0.6878010535371706,0.5989711998978766,0.5456271889815348,0.5543303241459734,0.6230728506973918,0.5456271889815348
0.28,0.24,0.15,0.0,0.6,1.6,0.7163676780475612,0.6921360233513394,0.5908918391267758,0.5601314295405507,0.5550933675863761,0.6229240675305207,0.5550933675863761
0.28,0.24,0.15,0.15,1.6,1.6,0.737154281476334,0.6831629832591084,0.6002781192160397,0.5415848046150298,0.5510644197112967,0.6226489216555616,0.5415848046150298
0.28,0.24,0.0,0.15,1.0,1.0,0.7367752111865892,0.6861184138948612,0.5992937057052855,0.5352645101699783,0.5551817850601236,0.6225267252033676,0.5352645101699783
0.28,0.24,0.0,0.15,0.6,1.0,0.7240745665720247,0.6902109510118648,0.5987137946463257,0.5431960030436087,0.5548387287217686,0.6222068087991184,0.5431960030436087
0.28,0.24,0.15,0.15,1.0,1.0,0.7275048025004288,0.6870616522325248,0.5991413173370997,0.5423683791272498,0.5536433787247294,0.6219439059844065,0.5423683791272498
0.28,0.24,0.35,0.0,1.6,1.0,0.7278786067152807,0.6857532745304064,0.5979254326319173,0.5446880087658881,0.5518742611484565,0.6216239167583899,0.5446880087658881
0.28,0.24,0.15,0.15,0.6,1.6,0.7162236959663882,0.6911937811431582,0.5924760658862024,0.5548422384361542,0.5532974445884604,0.6216066452040727,0.5532974445884604
0.28,0.24,0.35,0.35,1.6,1.6,0.7278050159779015,0.6857221479233159,0.5979445763526883,0.5435219717223699,0.5521025059599849,0.6214192435872521,0.5435219717223699
0.28,0.24,0.35,0.15,1.0,1.6,0.7185166760625793,0.6915809610011688,0.5921627189139687,0.5527728299753493,0.551868157780658,0.6213802687467449,0.551868157780658
0.28,0.24,0.15,0.35,0.6,1.6,0.7176404665875066,0.6925779234813937,0.5924942824653225,0.549729581190784,0.553575894480972,0.6212036296411958,0.549729581190784
0.28,0.24,0.15,0.0,0.6,1.0,0.7175699044554418,0.6924950252203621,0.5914264142606711,0.5505780283927099,0.5529415994755852,0.621002194360954,0.5505780283927099
0.28,0.24,0.15,0.0,1.6,1.0,0.7391844319427342,0.6829915117104163,0.5980685251351417,0.5349814965052371,0.5496098842792697,0.6209671699145598,0.5349814965052371
0.28,0.24,0.35,0.0,1.0,1.0,0.7203113364173237,0.6907191875971261,0.5921758281213315,0.5491781046396023,0.5515461570489418,0.6207861227648651,0.5491781046396023
0.28,0.24,0.0,0.0,0.6,0.6,0.723446118105552,0.6886362154322817,0.5976485596170036,0.5393992732180835,0.5541868111361149,0.620663395501807,0.5393992732180835
0.28,0.24,0.15,0.35,1.6,1.6,0.7391844319427342,0.683278752059185,0.5983361374427668,0.5337098405716909,0.5487455734175758,0.6206509470867905,0.5337098405716909
0.28,0.24,0.0,0.35,0.6,1.0,0.7234519384885332,0.6887396371927994,0.5971336672487237,0.5396820830751926,0.5538329124431407,0.6205680476896779,0.5396820830751926
0.28,0.24,0.0,0.0,1.0,0.6,0.7380101059222254,0.6845473801750169,0.5973154892258562,0.5301993977940483,0.5523044310174419,0.6204753608269178,0.5301993977940483
0.28,0.24,0.35,0.35,1.0,1.6,0.7203113364173237,0.6898338143060441,0.5921588936487125,0.5476833234429621,0.5521555240045166,0.6204285783639117,0.5476833234429621
0.28,0.24,0.0,0.15,0.6,0.6,0.7247770548771064,0.6879357667988002,0.5970783895133696,0.5382162694533275,0.5533785909840416,0.620277214325329,0.5382162694533275
0.28,0.24,0.35,0.15,1.6,1.0,0.7265050765297753,0.6843358793175435,0.5965074339729243,0.5418591476394288,0.5518402566708553,0.6202095588261054,0.5418591476394288
0.28,0.24,0.0,0.35,1.0,1.0,0.7380101059222254,0.6843348547956063,0.5976635655162797,0.5291548534432261,0.551784548204978,0.6201895855764631,0.5291548534432261
0.28,0.24,0.35,0.15,1.0,1.0,0.7199277107919784,0.6891885133683997,0.5935873175363214,0.5451343110928946,0.5527376576251439,0.6201151020829476,0.5451343110928946
0.28,0.24,0.35,0.0,0.6,1.6,0.7099136682368948,0.6902070061946788,0.5869907461700533,0.5613695420675512,0.5520057053793173,0.6200973336096991,0.5520057053793173
0.28,0.24,0.15,0.0,1.0,0.6,0.7283693239199065,0.6851828148169168,0.5969088029259554,0.5376450984281546,0.5517324347379878,0.6199676949657842,0.5376450984281546
